id товара,наименование,ссылка на товар,регулярная цена,бренд
268329,"Tarrington House Набор тряпок из микрофибры 40 х 35см, 4шт",https://online.metro-cc.ru/products/nabor-salfetok-tarrington-house-4-sht,199,TARRINGTON HOUSE
617481,"METRO PROFESSIONAL Мешки для мусора без тесемок 160л, 10шт",https://online.metro-cc.ru/products/metro-professional-meshki-dlya-musora-bez-tesemok-160l-10sht,107,METRO PROFESSIONAL
603241,"aro Мешки для мусора без тесемок 60л, 20шт",https://online.metro-cc.ru/products/aro-meshki-dlya-musora-bez-tesemok-60l-20sht,47,ARO
111686,"aro Салфетки универсальные в рулоне 100л, 25 х 25см",https://online.metro-cc.ru/products/salfetki-v-rulone-universalnye-aro-100l,249,ARO
111682,"METRO PROFESSIONAL Салфетки универсальные в рулоне 25 x 20см, 200шт",https://online.metro-cc.ru/products/salfetki-v-rulone-universalnye-metro-professional-200l,499,METRO PROFESSIONAL
603242,"aro Мешки для мусора без тесемок 120л, 20шт",https://online.metro-cc.ru/products/aro-meshki-dlya-musora-bez-tesemok-120l-20sht,104,ARO
449872,"aro Мешки для мусора без тесемок 30л, 30шт",https://online.metro-cc.ru/products/aro-meshki-dlya-musora-bez-tesemok-30l-30sht,31,ARO
526331,"Сушилка для белья напольная Ника металл пластик, 30 x 53 x 131см",https://online.metro-cc.ru/products/nika-napolnaya-18m,1 199,НИКА
549006,"METRO PROFESSIONAL Мешки для мусора 240л, 10 х 30 х 10см, 10шт",https://online.metro-cc.ru/products/meshki-horeca-select-dlya-musora-240l-2h10sht,319,METRO PROFESSIONAL
204193,Комплект постельного белья Verossa Silver меланж евро,https://online.metro-cc.ru/products/kpb-evro-melanzh-silver-verossa,6 299,VEROSSA
119902,"Одеяло Волшебная ночь Меринос, 140 x 205см",https://online.metro-cc.ru/products/merinos-140x205sm,1 869,ВОЛШЕБНАЯ НОЧЬ
224337,Tarrington House Комплект постельного белья сатин розы евро,https://online.metro-cc.ru/products/kpb-evro-satin-th-224337,3 399,TARRINGTON HOUSE
130539,"Полотенце Verossa Milano махровое серое хлопок, 100 х 150см",https://online.metro-cc.ru/products/mahrovoe-bannoe-verossa-milano-seroe-100h150-sm,1 799,VEROSSA
133570,"Подушка Kariguz Делюкс гусиный пух 70% перо 30%, 50 x 70см",https://online.metro-cc.ru/products/gusinyj-puh-70-pero-30-delyuks-kariguz-50x70sm,1 999,KARIGUZ
218749,"Пододеяльник Verossa темно-синий сатин, 200 x 220см",https://online.metro-cc.ru/products/pododeyalnik-200220-satin-verossa-218749,2 799,VEROSSA
137988,"METRO PROFESSIONAL Скатерть белая, 200 х 220см",https://online.metro-cc.ru/products/metro-professional-skatert-belaya-200-h-220sm,1 999,METRO PROFESSIONAL
450724,"Одеяло Classic by T Бамбук Эко, 140 х 200см",https://online.metro-cc.ru/products/bambuk-eko-140h200-sm,1 999,CLASSIC BY T
201683,"METRO PROFESSIONAL Одеяло полиэстер 100% серия антистресс, 200 x 220см",https://online.metro-cc.ru/products/odeyalo-200220-100-poliester-seriya-antistress-mpro,3 999,METRO PROFESSIONAL
218755,"Пододеяльник Verossa графит сатин, 200 x 220см",https://online.metro-cc.ru/products/pododeyalnik-200220-satin-verossa-218755,2 799,VEROSSA
135030,Тапочки женские Lucky Land с помпоном,https://online.metro-cc.ru/products/tapochki-lacky-land-zhenskie-s-pomponom,899,LUCKY LAND
210856,"Сабо женские Lucky Land Eva с перфорацией белые, р. 37",https://online.metro-cc.ru/products/sabo-zh-s-perf-belye-eva-ll-210856,899,EVA
135469,Тапочки мужские Lucky Land открытые велюровые со стежкой,https://online.metro-cc.ru/products/tapochki-lucky-land-muzhskie-otkrytye-stezhka-velyur,599,LUCKY LAND
113963,Тапочки мужские Lucky Land 3562 M-NCH-C домашние,https://online.metro-cc.ru/products/tapochki-domashnie-muzhskie-lucky-land-3562-m-nch-c,1 799,LUCKY LAND
127482,Сабо мужские Eva утепленные с мехом,https://online.metro-cc.ru/products/sabo-muzhskie-eva-uteplennye-s-mehom,1 399,EVA
133026,Тапочки женские Valori открытые леопард,https://online.metro-cc.ru/products/tapochki-zhenskie-otkrytye-leopard-poliester-valori,799,VALORI
226324,Тапочки Lucky Land мужские стеганные,https://online.metro-cc.ru/products/tapochki-m-zakr-steg-rez-podoshva-ll,899,LUCKY LAND
129928,"Носки мужские Marso НМГ-0108 хлопок-полиамид черные с принтом, 45-47",https://online.metro-cc.ru/products/muzhskie-chernye-hlopok-poliamid-s-printom-razmer-45-47-nmg-0108-marso,99,MARSO
127479,Сабо женские Eva утепленные с мехом пастельные тона,https://online.metro-cc.ru/products/sabo-zhenskie-eva-uteplennye-pastelnye-tona-s-mehom,1 299,EVA
129889,"Носки мужские Marso Гладь НММ-0001 хлопок-полиамид синие, 39-41",https://online.metro-cc.ru/products/muzhskie-sinie-hlopok-poliamid-glad-razmer-39-41-nmm-0001-marso,139,MARSO
116608,"Термокороб с крышкой Overath Floip-Box Big, 39л",https://online.metro-cc.ru/products/termokorob-s-kryshkoj-flip-box-big-39l,3 699,OVERATH
116606,"METRO PROFESSIONAL Термокороб с крышкой Basta Box 44л XL, 60 х 40 х 30см",https://online.metro-cc.ru/products/termokorob-s-kryshkoj-basta-box-xl-44l,6 499,METRO PROFESSIONAL
139245,"Ледянка 1Toy прямоугольная в ассортименте, 72 x 41см",https://online.metro-cc.ru/products/ledyanka-72h41sm-pryamougolnaya-v-assortimente,899,Россия
642417,"Термокороб с крышкой белый 25л, 60 х 40 х 16см",https://online.metro-cc.ru/products/termokorob-s-kryshkoj-25-l,1 299,Без бренда
116607,"METRO PROFESSIONAL Термокороб с крышкой Basta Box S, 21л",https://online.metro-cc.ru/products/termokorob-s-kryshkoj-basta-box-s-21l,1 999,METRO PROFESSIONAL
14572,"Ледянка 1Toy круглая в ассортименте, 52см",https://online.metro-cc.ru/products/1toy-52sm,799,Россия
642415,"Термокороб с крышкой белый 50л, 80 х 40 х 23.1см",https://online.metro-cc.ru/products/termokorob-s-kryshkoj-50-l,2 199,Без бренда
642418,"Термокороб с крышкой ТП 15л, 40 х 30 х17см",https://online.metro-cc.ru/products/termokorob-s-kryshkoj-tp-15-l,799,Без бренда
213745,"Бассейн Intex каркасный, 457 x 122см",https://online.metro-cc.ru/products/basseyn-karkasnyy-457h122sm-intex,54 999,INTEX
361249,"METRO PROFESSIONAL Уголь высший сорт, 10кг",https://online.metro-cc.ru/products/metro-professional-ugol-berezovyj-10kg,849,METRO PROFESSIONAL
468548,"Ловушка Раптор от тараканов, 6шт",https://online.metro-cc.ru/products/raptor-lovushka-dlya-tarakanov-6sht,198,РАПТОР
361244,"METRO PROFESSIONAL Уголь высший сорт, 3кг",https://online.metro-cc.ru/products/metro-professional-ugol-berezovyj-3kg,329,METRO PROFESSIONAL
482099,"Гель Раптор от тараканов и муравьев, 75мл",https://online.metro-cc.ru/products/gel-raptor-protiv-tarakanov-muravyev-75ml,198,РАПТОР
10800,"Зажигалка BIC J3 полупрозрачная, 1 x 50 шт",https://online.metro-cc.ru/products/bic-j3-poluprozrachnaya,3 000,BIC
213748,"Матрас Intex надувной, 99 x 191 x 25см",https://online.metro-cc.ru/products/matras-naduvnoy-99h191h25sm-intex,2 299,INTEX
121677,Роллы для розжига Firewood 32шт,https://online.metro-cc.ru/products/rolly-dlya-rozzhiga-32sht-firewood,349,FIREWOOD
525709,"Решетка-гриль Forester Mobile стальная со съемной деревянной ручкой с регулировкой глубины, 30 х 24 х 6см",https://online.metro-cc.ru/products/reshetka-nbspso-semnoj-ruchkoj-forester-mobile-universalnaya-24-30-sm,999,FORESTER
549601,"Уголь в брикетах Firewood древесный 6л, 1.8кг",https://online.metro-cc.ru/products/ugol-sevzapugol-briket-6l-18kg,299,FIREWOOD
461240,"aro Батарейки LR03 AAA, 12шт",https://online.metro-cc.ru/products/batarejki-aro-aaa-12-sht,349,ARO
210368,"Батарейки GP Super Aa, 12шт",https://online.metro-cc.ru/products/12sht-batareyki-gp-super-aa-boks,599,GP
461241,"aro Батарейки LR6 АА, 12шт",https://online.metro-cc.ru/products/batarejki-aro-aa-12-sht,349,ARO
73919,"Устройство зарядное GP USB с аккумулятором 2700мАч, 4шт",https://online.metro-cc.ru/products/zaryadnoe-ustrojstvo-gp-usb-2700-mah-4-sht,3 789,GP
221337,Батарейка GP Lithium CR123AE-2CR1,https://online.metro-cc.ru/products/batareyka-gp-lithium-cr123ae-2cr1,549,GP
79435,"Батарейки GP Super C, 2шт",https://online.metro-cc.ru/products/batarejki-gp-super-c-2sht,439,GP
117608,"Батарейки GP Super LR03 AAA, 12шт",https://online.metro-cc.ru/products/gp-super-aaa-lr03-12sht-6-6,319,GP
665708,"Батарейки GP LR03 ААА, 4шт",https://online.metro-cc.ru/products/batarejki-gp-aaa-lr03-4sht,219,GP
210454,"Батарейки GP Lithium 2032, 2шт",https://online.metro-cc.ru/products/2sht-batareyki-gp-lithium-2032,259,GP
210369,"Батарейки GP Super Aaa, 12шт",https://online.metro-cc.ru/products/12sht-batareyki-gp-super-aaa-boks,599,GP
525374,"Ящик для хранения Roxbox на колесах с крышкой 70л, 60 х 40 х 36см",https://online.metro-cc.ru/products/rox-box-na-kolesah-s-kryshkoj-70l,1 199,ROXBOX
572838,"aro Набор плечиков деревянный 44.5см, 6шт",https://online.metro-cc.ru/products/aro-plechiki-kostyumnye-s-perekladinoj-derevyannye-6sht,379,ARO
355049,Tarrington House Вешалка для одежды передвижная,https://online.metro-cc.ru/products/tarrington-house-veshalka-dlya-odezhdy-napolnaya,1 119,TARRINGTON HOUSE
128397,"Tarrington House Ящик с крышкой 31л, 19 x 39 x 55.5см",https://online.metro-cc.ru/products/c-kryshkoj-tarrington-house-31l,899,TARRINGTON HOUSE
403885,"Tarrington House Плечики широкие без перекладины бамбуковые, 1шт",https://online.metro-cc.ru/products/tarrington-house-plechiki-kostyumnye-rasshirennye-bez-perekladiny-bambukovye,519,TARRINGTON HOUSE
586366,"Плечики костюмные Attribute Siluet деревянные с резиновыми зубчиками черные 23 х 5 х 44см, 4шт",https://online.metro-cc.ru/products/plechiki-kostyumnye-attribute-derevyannye-4-sht,529,ATTRIBUTE
111317,"Ящик с крышкой Roxbox прозрачный 8л, 34 х 22 х 14см",https://online.metro-cc.ru/products/yaschik-s-kryshkoj-prozrachnyj-8l-roxbox,289,ROXBOX
525368,"Ящик для хранения Roxbox на колесах с крышкой 120л, 74 х 41 х 57см",https://online.metro-cc.ru/products/rox-box-na-kolesah-s-kryshkoj-120l,2 299,ROXBOX
128398,"Tarrington House Ящик с крышкой 49л, 29 x 39 x 55.5см",https://online.metro-cc.ru/products/c-kryshkoj-tarrington-house-49l,1 099,TARRINGTON HOUSE
104839,"Корзина с крышкой универсальная Violet Береста 523126 слоновая кость 14л, 35 х 24.5 х 20.5см",https://online.metro-cc.ru/products/korzina-universalnaya-violet-beresta-s-kryshkoj-523126-slonovaya-kost-35h245h205-sm,449,VIOLET
